"well","val","plate"
"A01",-0.291525402819842,"plate1"
"A02",-0.651573649466016,"plate1"
"A03",-0.18937719221761,"plate1"
"A04",1.59236448480086,"plate1"
"A05",0.694042547325827,"plate1"
"A06",0.352708619610291,"plate1"
"A07",-0.122033905294807,"plate1"
"A08",0.881045888280512,"plate1"
"A09",0.80522657350423,"plate1"
"A10",-0.384909104177099,"plate1"
"A11",1.48421854164428,"plate1"
"A12",-0.621107017207415,"plate1"
"B01",-0.262008255888852,"plate1"
"B02",1.09316603176371,"plate1"
"B03",0.023842609161489,"plate1"
"B04",-0.456837989160475,"plate1"
"B05",0.119289270263423,"plate1"
"B06",-1.49939674068024,"plate1"
"B07",-0.570191868188928,"plate1"
"B08",0.164112521923752,"plate1"
"B09",-0.706599623807789,"plate1"
"B10",-1.12605657729825,"plate1"
"B11",-0.973476761016793,"plate1"
"B12",1.19942339567912,"plate1"
"C01",0.78898157325896,"plate1"
"C02",-0.0378620141514016,"plate1"
"C03",0.422049225466427,"plate1"
"C04",0.486401002182075,"plate1"
"C05",1.49042222179403,"plate1"
"C06",0.807828171495054,"plate1"
"C07",-1.62794605008558,"plate1"
"C08",-1.21321332057805,"plate1"
"C09",2.41012814158054,"plate1"
"C10",-0.539413532225154,"plate1"
"C11",0.171977386787909,"plate1"
"C12",0.19752943043603,"plate1"
"D01",1.08279344775603,"plate1"
"D02",0.703179339931262,"plate1"
"D03",0.19576399615229,"plate1"
"D04",-1.65275118266615,"plate1"
"D05",-0.446973417839764,"plate1"
"D06",-0.359781294251839,"plate1"
"D07",0.669507685032796,"plate1"
"D08",0.149572690764788,"plate1"
"D09",-1.39920212362882,"plate1"
"D10",-1.26906393598636,"plate1"
"D11",-1.95461860750026,"plate1"
"D12",-0.14031436629561,"plate1"
"E01",0.870934774643241,"plate1"
"E02",0.0929715327840111,"plate1"
"E03",0.811540013549886,"plate1"
"E04",0.78843173829837,"plate1"
"E05",0.279009717181367,"plate1"
"E06",0.0162386106493392,"plate1"
"E07",-0.182458896335115,"plate1"
"E08",1.26365123090331,"plate1"
"E09",-1.99963196721626,"plate1"
"E10",-0.732079565091685,"plate1"
"E11",-0.71553691027488,"plate1"
"E12",-0.285913710329839,"plate1"
"F01",0.595634316480151,"plate1"
"F02",-2.57585259390345,"plate1"
"F03",0.767340245882808,"plate1"
"F04",1.5385019346745,"plate1"
"F05",-0.249050038375482,"plate1"
"F06",-0.0104578184621701,"plate1"
"F07",0.0962989111560941,"plate1"
"F08",-0.142885833108402,"plate1"
"F09",-1.50099883464464,"plate1"
"F10",1.44768265719887,"plate1"
"F11",-1.09316589080518,"plate1"
"F12",0.700408523326633,"plate1"
"G01",-0.515380402680228,"plate1"
"G02",1.09795281251022,"plate1"
"G03",-1.20214960274387,"plate1"
"G04",-1.91017095086292,"plate1"
"G05",-0.17907037595889,"plate1"
"G06",1.15698768331155,"plate1"
"G07",-1.09432178295568,"plate1"
"G08",-0.559878360062464,"plate1"
"G09",-0.393989620090178,"plate1"
"G10",-0.368684608773126,"plate1"
"G11",-0.216687422200581,"plate1"
"G12",-0.427283788757704,"plate1"
"H01",-0.350805832412613,"plate1"
"H02",-2.26051343274937,"plate1"
"H03",-0.076458754506395,"plate1"
"H04",-0.0709418562259144,"plate1"
"H05",0.115444166037731,"plate1"
"H06",0.295245877696857,"plate1"
"H07",-1.4201496125444,"plate1"
"H08",-0.918556036470983,"plate1"
"H09",0.900218098144118,"plate1"
"H10",0.44540497900861,"plate1"
"H11",-0.897260836282635,"plate1"
"H12",-0.446066504385061,"plate1"
